,,,,,
,,,,,
,SYMPTOMS,PREDICTED DISEASE,ANALGESICS,TREATMENT,DIET
,"Eye Irritation, Runny Nose, Stuffy Nose, Puffy, Watery Eyes, Sneezing, Inflamed, Itchy Nose and Throat",Allergies,"Anti Histamines, Decongestants, Anti-Inflammatory Agents","treat allergy symptoms with over-the-counter and prescription medications, as well as allergy shots. Lifestyle changes like using air filters and avoiding triggers are important","Fruits, Vegetables, beans, Whole grains fish, olive oil"
,"fever, headache, more intense pain and fatigue, more severe, often dry cough, a runny nose, nasal congestion, sneezing, sore throat, and cough",Cold and Flu,"Paracetamol, Acetaminophen, Ibuprofen, and Naproxen.","Rest more than usual and avoid exercise until symptoms are gone. Eat a well-balanced diet, including fruits, vegetables, and grains.","Fruits, Vegetables, Increase liquid intake"
,"redness of eye, itching of eye, burning sensation, pus-like discharge, crusting of eyelids",Conjunctivitis,"Antibiotic Eyedrops or Ointments, Antihistamine eye drops","Wash your hands frequently to prevent spreading an existing infection to your other eye, and to other people. Use a cool wet washcloth to soak off any crusting. Use a warm or cool compress to reduce discomfort. Wash any clothing that may be contaminated, including towels and pillowcases. Try to use clean towels and pillowcases everyday.","Fruits, Vegetables, Rice, more water intake"
,"watery and loose stools, frequent bowel movements, cramping or pain in the abdomen, nausea, bloating, possibly fever or bloody stools,",Diarrhea,"Loperamide, Bismuth subsalicylate","Avoid foods that are milk-based, greasy, high-fiber, or very sweet because these are likely to aggravate diarrhea. Do not eat solid food if you have signs of dehydration (thirst, light-headed, dark urine). Instead, drink about 2 cups of clear fluids per hour (if vomiting isn’t present), such as sports drinks and broth. Water alone is not enough because your body needs sodium and sugar to replace what it’s losing. Begin eating normal meals within 12 hours, but stick to food that is bland and won’t irritate your intestine. Some doctors suggest the “BRAT“ diet which includes foods that are low in fiber, fat, and sugar. BRAT stands for Bananas, Rice, Applesauce, and Toast.","Banana, Rice, Apples, Toast"
,"pulsing or throbbing quality. begins with intense pain on one side of the head, which eventually spreads. felt on one or both sides of the head.  sometimes preceded by visual changes, such as an aura of zigzag lines or flashes of light",Migraine,"acetaminophen (Excedrin, Tylenol), aspirin, naproxen, ibufropen, ketorolac","Ice pack held over the eyes or forehead.  Sleep, or at least resting in a dark room. Taking breaks from stressful situations.Regular exercise to increase endorphin levels and relax muscles. Even if you already have a headache, exercising may relieve the pain. However, intense exercise may bring on a headache.  ","Fish, Seed, legumes, turmeric, dark green leafy vegetables, low-fat dairy products, summer squash, and brown rice."
,"Pus or fluid leaking out of the cut.
Red skin around the injury.
A red streak that runs from the cut toward your heart.
A pimple or yellowish crust on top.
Sores that look like blisters.
Pain that gets worse after a few days.
Swelling that gets worse after a few day",Skin Infection,"Cleocin, Cephalexin, Zithromax (azithromycin), Flagyl (metronidazole)","Apply cold compresses to your skin several times a day to reduce itching and inflammation.
Take over-the-counter antihistamines to decrease itching.
Use topical creams and ointment to reduce itching and discomfort.","blueberries, purple cabbage, raspberries, pomegranates and carrots, peas, potatoes, corn, Napa cabbage and lima beans"
,"a painful throat, especially when swallowing.
a dry, scratchy throat.
redness in the back of your mouth.
bad breath.
a mild cough.
swollen neck glands.",Sore Throat,"Acetaminophen (Tylenol)
Ibuprofen (Advil or Motrin)
Naproxen (Aleve)","Suck on ice chips, popsicles, or lozenges (do not give lozenges to children younger than 2 years).
Use a clean humidifier or cool mist vaporizer.
Gargle with salt water.
Drink warm beverages and plenty of fluids.","Yogurt.
Oatmeal.
Mashed potatoes.
Eggs.
Jell-o.
Pasta.
Soup."
,"Runny nose.
Stuffy nose.
Facial pain or pressure.
Headache.
Mucus dripping down the throat (post-nasal drip)
Sore throat.
Cough.
Bad breath.",Sinusitis,"Augmentin (amoxicillin/clavulanate).
Amoxicillin.
Doxycycline.
Levofloxacin.
Cefixime.
Cefpodoxime.
Clindamycin.","getting plenty of rest
drinking plenty of fluids
taking painkillers, such as paracetamol or ibuprofen (do not give aspirin to children under 16)
avoiding allergic triggers and not smoking
cleaning your nose with a salt water solution to ease congestion","Water. When you have a sinus infection, your body needs hydrating liquids to help thin your mucus, so it flows more easily out of your sinuses. ...
Hot liquids. ...
Tea. ...
Honey. ...
Citrus fruits. ...
Seafood. ...
Pineapple."
,"early satiation, uncomfortable fullness, bloating, nausea, vomiting, belching, flatulence, heartburn, regurgitation and diarrhoea.",Abdominal Pain,"loperamide (Imodium) or bismuth subsalicylate (Kaopectate or Pepto-Bismol) might make you feel better. For other types of pain, acetaminophen (Aspirin Free Anacin, Liquiprin, Panadol, Tylenol)","Place a hot water bottle or heated wheat bag on your abdomen.
Soak in a warm bath. ...
Drink plenty of clear fluids such as water.
Reduce your intake of coffee, tea and alcohol as these can make the pain worse.","plain water
clear broths
diluted fruit juice or squash
popsicles made from frozen diluted fruit juice
electrolyte drinks
weak tea without milk
herbal teas
Jell-O"
,"nausea, chills, headache, and muscle aches",Gastroenteritis or Stomach Flu,Acetaminophen (Tylenol),Use the dishwasher instead of washing dishes by hand when possible.,
